user_id,username,rating_count
1245229,TsukasaKei,8739
8669,spacecowboy,8739
4561255,uemmega,8588
3979333,Exxorn,8558
1237755,DeadlyKizuna,8153
1381655,xbhrjd,8078
1636745,JakCooper2,7894
2063865,De_Baer,7412
291713,Dedzapadlo,7235
805623,DesireDestiny,7010
4042345,ComfyLoli,6705
132251,canc,6605
1283539,Dragonflyk,6535
337383,VincentHarkonnen,6511
4328447,KanaenuYume,6423
186731,NightTerror,6407
98846,coty9090,6292
216713,Cafer,6285
2476641,Tsutaee,6281
1287643,AngelShiva,6049
202183,bobodobo89,5544
3551,Virali,5495
1084781,EZSPECIAL,5425
280949,Darkvoid,5424
1314837,Shioxus,5398
2080019,giannis85,5296
9029,link9us,5294
1613639,chaos63,5225
2188,Fire-Dragon,5166
146262,Loomir,5133
282141,DarAR92,5009
1319317,RafaelDeJongh,4984
4290713,dumnorix98,4961
221755,_thiagobrisolla,4936
331985,Boogy444,4923
6595668,Hyoretsu,4887
65266,SnakeValentine,4800
3134751,LastPrinny,4784
1223097,greatvillage,4723
4289321,heinrich6745,4596
116058,NOX_Arachne,4568
1202977,Yvonnelim99,4523
92792,PumaDAce,4521
1557337,Symino,4518
3570779,SakataYusuke,4511
3276983,Yzeelb,4504
1006745,axios1331,4489
696833,yugimon,4420
1311155,miky28,4392
3336425,abystoma2,4389
