anime_id,title,scored_by
1535,Death Note,1009477
16498,Shingeki no Kyojin,940211
11757,Sword Art Online,915986
5114,Fullmetal Alchemist: Brotherhood,733592
30276,One Punch Man,691845
22319,Tokyo Ghoul,659308
20,Naruto,648605
6547,Angel Beats!,641851
1575,Code Geass: Hangyaku no Lelouch,627740
19815,No Game No Life,623227
10620,Mirai Nikki (TV),592994
9253,Steins;Gate,563857
4224,Toradora!,557898
2904,Code Geass: Hangyaku no Lelouch R2,543904
21881,Sword Art Online II,531486
9919,Ao no Exorcist,521881
226,Elfen Lied,514656
20507,Noragami,502213
199,Sen to Chihiro no Kamikakushi,498602
31964,Boku no Hero Academia,494037
121,Fullmetal Alchemist,491403
8074,Highschool of the Dead,479492
22199,Akame ga Kill!,475884
32281,Kimi no Na wa.,471398
11111,Another,469764
27899,Tokyo Ghoul √A,452829
2001,Tengen Toppa Gurren Lagann,449656
31043,Boku dake ga Inai Machi,440402
31240,Re:Zero kara Hajimeru Isekai Seikatsu,438250
269,Bleach,433097
21,One Piece,423868
6702,Fairy Tail,423745
2167,Clannad,423019
3588,Soul Eater,422552
23273,Shigatsu wa Kimi no Uso,413527
18679,Kill la Kill,412726
22535,Kiseijuu: Sei no Kakuritsu,410107
11061,Hunter x Hunter (2011),403377
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,397955
15809,Hataraku Maou-sama!,389033
23755,Nanatsu no Taizai,385532
1735,Naruto: Shippuuden,385179
9756,Mahou Shoujo Madoka★Magica,380424
13601,Psycho-Pass,377003
6746,Durarara!!,376169
10087,Fate/Zero,374576
11617,High School DxD,371603
28223,Death Parade,371287
6880,Deadman Wonderland,368860
813,Dragon Ball Z,367982
